White,Black,Result,Moves
neps10,saubhagya,1-0,1. e4
VEDANG_KHARE,saubhagya,0-1,1. e4 c5 2. Nf3 Nc6 3. Bc4 e6 4. O-O g6 5. c3 Bg7 6. d4 cxd4 7. Nxd4 Nxd4 8. cxd4 d5 9. exd5 exd5 10. Re1+ Ne7 11. Bb5+ Bd7 12. Qa4 a6 13. Bxd7+ Qxd7 14. Qxd7+ Kxd7 15. Bg5 Rhe8 16. Nc3 Bxd4 17. Rxe7+ Rxe7 18. Bxe7 Bxc3 19. bxc3 Kxe7 20. Rb1 b5 21. f4 Rc8 22. Rb3 f5 23. Kf2 Kd6 24. Kf3 Rc4 25. g3 Kc5 26. h3 a5 27. a3 a4 28. Rb4 Rxc3+ 29. Kg2 Rxa3 30. Rb1 Rc3 31. h4 a3 32. Kh3 a2 33. Ra1 Rc2 34. h5 b4 35. Kh4 b3 36. g4 b2 37. Rxa2 b1=Q 38. Rxc2+ Qxc2 39. hxg6 hxg6 40. gxf5 Qxf5 41. Kg3 d4 42. Kf3 d3 43. Ke3 Kc4 44. Kf3 d2 45. Ke3 Kc3 46. Kf3 d1=Q+ 47. Ke3 Qd2+ 48. Kf3 Qfxf4#
saubhagya,soham2409,1-0,1. e4 c5 2. Nf3 e6 3. Bc4 Nf6 4. Nc3 Nc6 5. O-O g6 6. d4 Nxd4 7. Nxd4 cxd4 8. Qxd4 Bg7 9. Bg5 O-O 10. e5 h6 11. exf6 Bxf6 12. Bxf6 Qe8 13. Qf4 d5 14. Qxh6
saubhagya,krunalshirodkar,1-0,1. e4 d6 2. d4 Nf6 3. Bd3 c6 4. Ne2 Qa5+ 5. c3 e5 6. O-O g6 7. f4 exf4 8. Bxf4 Bg4 9. h3 Bxe2 10. Qxe2 Nbd7 11. b4 Qb6 12. a4 a5 13. b5 Be7 14. Na3 O-O 15. Rab1 c5 16. Kh1 cxd4 17. c4 Qc5 18. Nc2 Ne5 19. Bh6 Rfd8 20. Qd2 Nh5 21. Qf2 Nxd3 22. Qxf7+ Kh8 23. Qxe7 Ng3+ 24. Kh2 Nxf1+ 25. Rxf1 Qe5+ 26. Qxe5+ dxe5 27. Rf7 b6 28. h4 Nc5 29. Re7 Nxe4 30. Bg7+ Kg8 31. Bxe5 d3 32. Ne3 Nc5 33. Nd5 d2 34. Rg7+ Kf8 35. Nf4 d1=Q 36. Rxh7 Kg8 37. Rg7+ Kf8 38. Nxg6+ Ke8 39. Re7#
krunalshirodkar,saubhagya,0-1,1. e4 c5 2. c3 Nc6 3. d4 cxd4 4. cxd4 d5 5. e5 Bf5 6. f4 e6 7. Nf3 f6 8. a3 fxe5 9. fxe5 Be7 10. Nc3 Bh4+ 11. g3 Be7 12. Bd3 Qb6 13. Bxf5 exf5 14. Nxd5 Qa5+ 15. Nc3 O-O-O 16. Be3 Nh6 17. h3 Nf7 18. d5 Ncxe5 19. Nxe5 Nxe5 20. Bf4 Bf6 21. O-O Rhe8 22. Qc2 Qc5+ 23. Kh2 g5 24. Qxf5+ Nd7 25. Bxg5 Rf8 26. Bxf6 Rxf6 27. Qxh7 Rf2+ 28. Kh1 Rxb2 29. Rac1 Kb8 30. Na4 Qxd5+
saubhagya,krunalshirodkar,0-1,1. e4 d6 2. d4 Nf6 3. Bd3 c6 4. Ne2 g6 5. O-O Bg7 6. c4 e5 7. dxe5 dxe5 8. Nbc3 Be6 9. f4 Nbd7 10. fxe5 Nxe5 11. Bg5 Ned7 12. Nf4 O-O 13. Nxe6 fxe6 14. Qc2 e5 15. Rad1 Qc7 16. b3 Rad8 17. Be2 Nc5 18. Rxd8 Rxd8 19. Bxf6 Bxf6 20. Rxf6 Qe7 21. Rf1 Qg5 22. Bf3 Rd2 23. Qc1 Nd3 24. h4 Qe3+
saubhagya,AR1354,0-1,1. e4 g6 2. d4 Bg7 3. c4 d6 4. f4 Nf6 5. Nc3 O-O 6. Nf3 c5 7. e5 Nfd7 8. Be3 cxd4 9. Bxd4 dxe5 10. Nxe5 Nxe5 11. Bxe5 Qxd1+ 12. Rxd1 Bxe5 13. fxe5 Nc6 14. Nd5 e6 15. Nc7 Rb8 16. Be2 Nxe5 17. O-O Bd7 18. Rfe1 Bc6 19. Nb5 a6 20. Nc3 Rbd8 21. Bf1 Ng4 22. Rxd8 Rxd8 23. h3 Nf6 24. g3 Nh5 25. Kh2 Rd2+ 26. Re2 Rd3 27. Rg2 Bxg2 28. Bxd3 Bc6 29. Be4 Bxe4 30. Nxe4 Kf8 31. Kg2 Ke7 32. Kf3 h6 33. g4 Nf6 34. Nc5 b5 35. cxb5 axb5 36. h4 Kd6 37. Ne4+ Nxe4 38. Kxe4 f5+ 39. gxf5 exf5+ 40. Kf4 b4 41. a3 bxa3 42. bxa3 h5 43. Kg5 Kc5 44. Kxg6 f4 45. Kxh5 f3 46. Kg6 f2 47. h5 f1=Q 48. h6 Qf8 49. h7
ALEX2PAIRS,saubhagya,1-0,1. g3 c5 2. Bg2 d6 3. d3 Nf6 4. Nc3 Nc6 5. e4 e5 6. f4 Bg4 7. Nf3 Nd4 8. O-O Nxf3+ 9. Bxf3 Bxf3 10. Qxf3 Be7 11. Nd5 Nxd5 12. exd5 O-O 13. fxe5 dxe5 14. c4 f5 15. Bd2 h6 16. Bc3 Bf6 17. Rae1 b5 18. Bxe5 Bxe5 19. Rxe5 bxc4 20. dxc4 Qf6 21. Qxf5 Qxf5 22. Rfxf5 Rxf5 23. Rxf5 Rb8 24. b3 a5 25. d6 Rc8 26. d7 Rd8 27. Rxc5 Rxd7 28. Rxa5 Rd1+ 29. Kg2
saubhagya,DrManiac118,0-1,1. e4 c5 2. b4 cxb4 3. d4 e6 4. Nf3 Nc6 5. Bc4 d5 6. exd5 exd5 7. Qe2+ Be7 8. Bb3 Nf6 9. O-O O-O 10. Re1 Ne4 11. Nbd2 f5 12. Nxe4 fxe4 13. Qxe4 Kh8 14. Qd3 Bf5 15. Qb5 Bf6 16. Bb2 Be4 17. Ne5 Bxe5 18. dxe5 Qg5 19. Rxe4 dxe4 20. Qxb7 Qf4 21. Rf1 e3 22. Qxc6 exf2+ 23. Kh1 Qd2 24. Bc1 Qe1 25. Qc4 Rac8 26. Qd3 Rcd8 27. Qa6 Rd1 28. Bc4 Rxc1 29. h3 Rxc2 30. Rxe1 fxe1=Q+
DrManiac118,saubhagya,1-0,1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 e5 5. Nf3 Nc6 6. Bc4 h6 7. Qd5 Qe7 8. Nb5 Rb8 9. b3 Nf6 10. Qd3 d6 11. Ba3 Kd7 12. Bxd6
